step,sensor,pos_x,pos_y,pos_z,ori_l,ori_i,ori_j,ori_k,vel_a,vel_b,vel_c
936,IMU,16.912691,21.056933,13.086111,0.948028,-0.022281,0.198777,-0.247455,2.785554,3.472524,2.996525
937,IMU,16.940548,21.091659,13.116077,0.948039,-0.022370,0.198743,-0.247433,2.785826,3.472701,2.996677
938,IMU,16.968411,21.126384,13.146043,0.948032,-0.022355,0.198766,-0.247441,2.786761,3.472297,2.996562
939,DEPTH,17.079122,21.127464,13.145679,0.947780,-0.022312,0.195081,-0.255006,2.805285,3.472792,2.996310
940,IMU,17.107172,21.162189,13.175645,0.946893,-0.022198,0.194909,-0.254776,2.804826,3.472310,2.996831
941,IMU,17.135222,21.196915,13.205615,0.946899,-0.022160,0.194908,-0.254757,2.805048,3.472858,2.997112
942,IMU,17.163276,21.231651,13.235587,0.946896,-0.022148,0.194891,-0.254782,2.805794,3.474287,2.997425
943,DEPTH,17.315177,21.232971,13.235076,0.946517,-0.022081,0.189673,-0.265324,2.831111,3.474941,2.997069
944,IMU,17.343488,21.267715,13.265045,0.945228,-0.021969,0.189400,-0.264932,2.831170,3.473940,2.996614
945,IMU,17.371803,21.302455,13.295012,0.945251,-0.021983,0.189375,-0.264868,2.831760,3.473937,2.996767
946,IMU,17.400119,21.337197,13.324980,0.945243,-0.021989,0.189429,-0.264856,2.831406,3.474513,2.996965
947,DEPTH,17.453381,21.337608,13.324797,0.945099,-0.021964,0.187550,-0.268602,2.840238,3.474732,2.996840
948,IMU,17.481781,21.372356,13.354770,0.944612,-0.021907,0.187430,-0.268511,2.839806,3.474925,2.997690
949,IMU,17.510178,21.407108,13.384745,0.944615,-0.022012,0.187439,-0.268487,2.839703,3.475340,2.997410
950,IMU,17.538576,21.441858,13.414716,0.944615,-0.021976,0.187462,-0.268474,2.839721,3.474740,2.996791
951,DEPTH,18.589397,21.448862,13.411020,0.941539,-0.021417,0.149306,-0.343470,3.013154,3.478979,2.994258
952,IMU,18.619529,21.483653,13.440964,0.928985,-0.021133,0.147301,-0.338885,3.013432,3.479238,2.994420
953,IMU,18.649662,21.518442,13.470906,0.928960,-0.021117,0.147318,-0.338946,3.013157,3.478492,2.993948
954,IMU,18.679792,21.553225,13.500850,0.928978,-0.021097,0.147276,-0.338916,3.012721,3.478133,2.994854
955,DEPTH,18.739543,21.553559,13.500634,0.928790,-0.021062,0.145044,-0.343243,3.022526,3.478371,2.994709
956,IMU,18.769772,21.588346,13.530579,0.927897,-0.021154,0.144839,-0.342902,3.023239,3.478923,2.994197
957,IMU,18.800002,21.623134,13.560517,0.927893,-0.021108,0.144890,-0.342894,3.022907,3.478792,2.993487
958,IMU,18.830231,21.657924,13.590452,0.927911,-0.021138,0.144838,-0.342865,3.022890,3.479095,2.993401
959,DEPTH,19.154849,21.659387,13.589255,0.926813,-0.020937,0.132375,-0.366720,3.075977,3.480298,2.992594
960,IMU,19.185609,21.694190,13.619181,0.921574,-0.020833,0.131617,-0.364615,3.076044,3.480151,2.992608
961,IMU,19.216369,21.728994,13.649108,0.921584,-0.020840,0.131568,-0.364609,3.075882,3.480744,2.992692
962,IMU,19.247125,21.763802,13.679035,0.921593,-0.020827,0.131556,-0.364590,3.075305,3.480750,2.992809
963,DEPTH,18.465699,21.761181,13.681987,0.924419,-0.021344,0.162428,-0.306273,2.948059,3.477879,2.994834
964,IMU,18.495178,21.795958,13.711938,0.936089,-0.021690,0.164487,-0.310180,2.947840,3.477450,2.995291
965,IMU,18.524657,21.830730,13.741897,0.936112,-0.021658,0.164474,-0.310117,2.947949,3.477016,2.996472
966,IMU,18.554138,21.865500,13.771863,0.936108,-0.021674,0.164413,-0.310162,2.948256,3.477102,2.996728
967,DEPTH,18.835286,21.866087,13.770772,0.935019,-0.021473,0.152956,-0.331509,2.993757,3.478107,2.996000
968,IMU,18.865225,21.900867,13.800733,0.931263,-0.021399,0.152380,-0.330259,2.993959,3.477935,2.996113
969,IMU,18.895166,21.935650,13.830696,0.931259,-0.021437,0.152409,-0.330255,2.994279,3.478657,2.996554
970,IMU,18.925111,21.970441,13.860660,0.931240,-0.021444,0.152490,-0.330273,2.994637,3.479417,2.996193
971,DEPTH,18.275332,21.969861,13.863244,0.933918,-0.021949,0.179710,-0.280164,2.889822,3.477278,2.997903
972,IMU,18.304233,22.004630,13.893224,0.941731,-0.022077,0.181254,-0.282493,2.890435,3.476570,2.998122
973,IMU,18.333139,22.039395,13.923202,0.941724,-0.022196,0.181297,-0.282480,2.890772,3.476473,2.997374
974,IMU,18.362050,22.074156,13.953177,0.941712,-0.022188,0.181328,-0.282502,2.891331,3.475597,2.997670
975,DEPTH,17.974109,22.074204,13.954753,0.943394,-0.022510,0.197935,-0.252224,2.829134,3.474474,2.998627
976,IMU,18.002401,22.108950,13.984740,0.946567,-0.022512,0.198621,-0.253089,2.829292,3.474683,2.998693
977,IMU,18.030696,22.143695,14.014725,0.946549,-0.022476,0.198629,-0.253152,2.829818,3.474388,2.998448
978,IMU,18.058993,22.178444,14.044711,0.946535,-0.022477,0.198646,-0.253190,2.829548,3.475291,2.998659
979,DEPTH,17.949291,22.178546,14.045165,0.947032,-0.022573,0.203417,-0.244558,2.812027,3.474993,2.998933
980,IMU,17.977411,22.213293,14.075159,0.947694,-0.022476,0.203611,-0.244772,2.811827,3.474410,2.999911
981,IMU,18.005531,22.248040,14.105157,0.947674,-0.022357,0.203680,-0.244802,2.812259,3.474999,2.999646
982,IMU,18.033652,22.282788,14.135151,0.947675,-0.022361,0.203655,-0.244818,2.811888,3.474489,2.999227
983,DEPTH,17.709451,22.283358,14.136515,0.949204,-0.022661,0.217980,-0.219103,2.760381,3.473635,3.000039
984,IMU,17.737061,22.318093,14.166519,0.950606,-0.022661,0.218349,-0.219452,2.761578,3.473491,3.000619
985,IMU,17.764672,22.352827,14.196530,0.950600,-0.022653,0.218378,-0.219450,2.760640,3.473330,3.001566
986,IMU,17.792278,22.387561,14.226542,0.950613,-0.022669,0.218375,-0.219394,2.760552,3.473464,3.000891
987,DEPTH,18.116236,22.386750,14.225156,0.949029,-0.022357,0.203869,-0.245268,2.811751,3.474288,3.000081
988,IMU,18.144350,22.421494,14.255158,0.947671,-0.022338,0.203604,-0.244880,2.810996,3.474628,3.000278
989,IMU,18.172464,22.456243,14.285163,0.947680,-0.022358,0.203606,-0.244843,2.811848,3.475107,3.000699
990,IMU,18.200583,22.490991,14.315170,0.947706,-0.022331,0.203545,-0.244795,2.811804,3.474568,3.000812
991,DEPTH,18.418851,22.490251,14.314219,0.946596,-0.022114,0.193609,-0.262387,2.846138,3.475103,3.000259
992,IMU,18.447312,22.525003,14.344222,0.945265,-0.022104,0.193253,-0.261991,2.846149,3.475328,3.000278
993,IMU,18.475772,22.559754,14.374230,0.945284,-0.022075,0.193116,-0.262024,2.845711,3.474910,3.001373
994,IMU,18.504229,22.594498,14.404245,0.945287,-0.022061,0.193035,-0.262075,2.845761,3.473860,3.001540
995,DEPTH,18.131332,22.596092,14.405900,0.947267,-0.022437,0.210289,-0.231753,2.787485,3.472943,3.002480
996,IMU,18.159207,22.630822,14.435925,0.949287,-0.022474,0.210652,-0.232327,2.787372,3.473197,3.002569
997,IMU,18.187082,22.665554,14.465950,0.949308,-0.022428,0.210577,-0.232312,2.787646,3.473120,3.002480
998,IMU,18.214955,22.700286,14.495975,0.949334,-0.022407,0.210527,-0.232252,2.787007,3.473299,3.002478
999,DEPTH,18.899981,22.696728,14.492876,0.945546,-0.021700,0.178282,-0.288487,2.893616,3.474952,3.000690
1000,IMU,18.928916,22.731476,14.522891,0.941107,-0.021623,0.177352,-0.287047,2.893530,3.474680,3.002311
1001,IMU,18.957856,22.766220,14.552917,0.941132,-0.021568,0.177288,-0.287008,2.894408,3.473984,3.002870
1002,IMU,18.986802,22.800958,14.582943,0.941095,-0.021555,0.177284,-0.287133,2.894778,3.473770,3.002407
1003,DEPTH,18.903258,22.801469,14.583328,0.941576,-0.021643,0.181284,-0.280210,2.881864,3.473587,3.002614
1004,IMU,18.932080,22.836209,14.613352,0.942331,-0.021705,0.181405,-0.280418,2.882416,3.474371,3.002065
1005,IMU,18.960907,22.870953,14.643373,0.942348,-0.021663,0.181453,-0.280331,2.883118,3.474501,3.002138
1006,IMU,18.989735,22.905699,14.673393,0.942353,-0.021689,0.181440,-0.280321,2.882474,3.474640,3.001924
1007,DEPTH,19.608831,22.901547,14.670498,0.938688,-0.021019,0.151548,-0.331849,2.977887,3.475856,3.000381
1008,IMU,19.638612,22.936302,14.700500,0.931873,-0.020819,0.150458,-0.329457,2.978280,3.475326,3.000040
1009,IMU,19.668398,22.971054,14.730500,0.931883,-0.020815,0.150477,-0.329421,2.979001,3.475070,2.999943
1010,IMU,19.698185,23.005809,14.760503,0.931891,-0.020785,0.150446,-0.329412,2.978504,3.475924,3.000620
1011,DEPTH,19.272952,23.008860,14.762514,0.934471,-0.021254,0.171091,-0.293948,2.913268,3.475160,3.001662
1012,IMU,19.302089,23.043612,14.792531,0.939470,-0.021444,0.172028,-0.295538,2.914161,3.475203,3.001664
1013,IMU,19.331230,23.078364,14.822545,0.939467,-0.021524,0.171998,-0.295560,2.914085,3.475221,3.001243
1014,IMU,19.360374,23.113114,14.852557,0.939470,-0.021500,0.172029,-0.295533,2.914648,3.474744,3.001122
1015,DEPTH,19.582906,23.111452,14.851496,0.938092,-0.021252,0.161216,-0.314079,2.948627,3.475071,3.000608
1016,IMU,19.612395,23.146206,14.881498,0.935731,-0.021213,0.160796,-0.313213,2.949241,3.475693,2.999919
1017,IMU,19.641891,23.180961,14.911497,0.935733,-0.021218,0.160814,-0.313198,2.950062,3.475368,2.999781
1018,IMU,19.671392,23.215722,14.941498,0.935724,-0.021266,0.160813,-0.313221,2.950085,3.476788,3.000411
1019,DEPTH,19.235944,23.218938,14.943579,0.938447,-0.021751,0.181805,-0.277173,2.883760,3.476264,3.001398
1020,IMU,19.264780,23.253699,14.973594,0.942689,-0.021813,0.182522,-0.278473,2.883464,3.475964,3.001617
1021,IMU,19.293616,23.288460,15.003608,0.942704,-0.021766,0.182515,-0.278431,2.883672,3.476292,3.001249
1022,IMU,19.322451,23.323228,15.033617,0.942710,-0.021796,0.182521,-0.278405,2.883277,3.477325,3.000544
1023,DEPTH,18.901386,23.326296,15.035631,0.945370,-0.022260,0.202649,-0.243801,2.819333,3.476808,3.001534
1024,IMU,18.929581,23.361067,15.065648,0.947890,-0.022354,0.203124,-0.244427,2.819782,3.477259,3.001762
1025,IMU,18.957779,23.395839,15.095665,0.947885,-0.022359,0.203074,-0.244487,2.819845,3.477232,3.001594
1026,IMU,18.985979,23.430609,15.125685,0.947897,-0.022306,0.203057,-0.244463,2.820129,3.476699,3.002545
1027,DEPTH,19.209366,23.429002,15.124616,0.946471,-0.022062,0.192473,-0.262684,2.853874,3.476954,3.002041
1028,IMU,19.237905,23.463777,15.154640,0.945381,-0.022041,0.192233,-0.262326,2.854085,3.478064,3.002767
1029,IMU,19.266448,23.498558,15.184667,0.945350,-0.022002,0.192278,-0.262407,2.854348,3.478066,3.002684
1030,IMU,19.294991,23.533340,15.214693,0.945375,-0.021959,0.192243,-0.262347,2.854247,3.478337,3.002514
1031,DEPTH,19.425729,23.532431,15.214069,0.944536,-0.021817,0.186124,-0.272907,2.873929,3.478483,3.002216
1032,IMU,19.454469,23.567215,15.244090,0.943739,-0.021717,0.185866,-0.272652,2.874058,3.478279,3.002006
1033,IMU,19.483210,23.601998,15.274107,0.943714,-0.021666,0.185960,-0.272677,2.874128,3.478252,3.001538
1034,IMU,19.511948,23.636784,15.304122,0.943681,-0.021675,0.186032,-0.272742,2.873540,3.479046,3.001331
1035,DEPTH,20.076069,23.633008,15.301432,0.940042,-0.021064,0.159967,-0.317840,2.958171,3.479690,3.000022
1036,IMU,20.105653,23.667806,15.331431,0.935031,-0.020874,0.159148,-0.316154,2.958731,3.479829,2.999778
1037,IMU,20.135243,23.702603,15.361428,0.934975,-0.020832,0.159203,-0.316294,2.959250,3.479550,2.999502
1038,IMU,20.164832,23.737400,15.391426,0.935002,-0.020795,0.159133,-0.316253,2.958536,3.479934,3.000086
1039,DEPTH,20.437445,23.735648,15.390130,0.933235,-0.020500,0.146704,-0.337815,2.999257,3.480233,2.999465
1040,IMU,20.467441,23.770455,15.420122,0.929977,-0.020301,0.146253,-0.336663,3.000009,3.481156,2.998951
1041,IMU,20.497439,23.805268,15.450108,0.929976,-0.020278,0.146259,-0.336663,2.999525,3.481344,2.998319
1042,IMU,20.527438,23.840081,15.480092,0.929996,-0.020191,0.146254,-0.336613,3.000237,3.481284,2.998304
1043,DEPTH,20.404129,23.840841,15.480676,0.930797,-0.020324,0.151801,-0.326965,2.981868,3.481175,2.998580
1044,IMU,20.433949,23.875651,15.510665,0.932303,-0.020376,0.152031,-0.327540,2.982027,3.480874,2.999274
1045,IMU,20.463772,23.910455,15.540661,0.932297,-0.020366,0.152026,-0.327561,2.982571,3.479983,2.999973
1046,IMU,20.493595,23.945257,15.570663,0.932341,-0.020329,0.152006,-0.327446,2.982111,3.480456,3.000388
1047,DEPTH,20.634245,23.944462,15.570001,0.931429,-0.020180,0.145802,-0.338293,3.002930,3.480594,3.000086
1048,IMU,20.664275,23.979269,15.600004,0.929708,-0.020140,0.145560,-0.337713,3.003133,3.480827,3.000442
1049,IMU,20.694304,24.014078,15.630011,0.929688,-0.020146,0.145572,-0.337762,3.002702,3.481099,3.000917
1050,IMU,20.724330,24.048890,15.660021,0.929696,-0.020215,0.145574,-0.337734,3.002396,3.481228,3.001122
1051,DEPTH,21.183353,24.046488,15.657874,0.926718,-0.019734,0.125684,-0.372673,3.070042,3.481758,3.000117
1052,IMU,21.214055,24.081308,15.687877,0.920334,-0.019667,0.124781,-0.370175,3.070296,3.482266,3.000399
1053,IMU,21.244759,24.116128,15.717881,0.920322,-0.019713,0.124816,-0.370189,3.070594,3.481702,3.000483
1054,IMU,21.275464,24.150946,15.747888,0.920341,-0.019706,0.124800,-0.370147,3.070440,3.482068,3.000821
1055,DEPTH,21.311710,24.150769,15.747719,0.920105,-0.019669,0.123254,-0.372873,3.075757,3.482110,3.000743
1056,IMU,21.342470,24.185594,15.777728,0.919553,-0.019631,0.123216,-0.372633,3.076267,3.482785,3.000976
1057,IMU,21.373235,24.220425,15.807734,0.919553,-0.019641,0.123265,-0.372615,3.076757,3.483393,3.000234
1058,IMU,21.404001,24.255257,15.837740,0.919521,-0.019582,0.123361,-0.372667,3.076466,3.482994,3.000929
1059,DEPTH,21.211014,24.256112,15.838632,0.920775,-0.019781,0.131436,-0.358351,3.048255,3.482785,3.001337
1060,IMU,21.241497,24.290942,15.868649,0.923593,-0.019843,0.131850,-0.359442,3.048323,3.483150,3.002089
1061,IMU,21.271978,24.325774,15.898667,0.923604,-0.019929,0.131853,-0.359406,3.047958,3.483295,3.001557
1062,IMU,21.302462,24.360607,15.928685,0.923591,-0.020004,0.131814,-0.359449,3.048876,3.483308,3.002061
1063,DEPTH,20.964198,24.361957,15.930239,0.925791,-0.020347,0.145702,-0.334695,2.999638,3.482951,3.002760
1064,IMU,20.994193,24.396790,15.960266,0.930085,-0.020442,0.146414,-0.336283,2.999525,3.483519,3.002646
1065,IMU,21.024191,24.431625,15.990294,0.930083,-0.020490,0.146438,-0.336277,3.000053,3.483524,3.002921
1066,IMU,21.054194,24.466464,16.020324,0.930046,-0.020469,0.146525,-0.336342,3.000499,3.484174,3.003157
1067,DEPTH,21.474205,24.465040,16.018414,0.927327,-0.020047,0.129679,-0.366574,3.061428,3.484594,3.002306
1068,IMU,21.504817,24.499887,16.048437,0.922057,-0.019933,0.128882,-0.364422,3.061035,3.484947,3.002412
1069,IMU,21.535430,24.534740,16.078464,0.922035,-0.019890,0.128881,-0.364479,3.061663,3.485634,3.002935
1070,IMU,21.566051,24.569595,16.108496,0.922041,-0.019904,0.128932,-0.364445,3.062415,3.485247,3.003373
1071,DEPTH,21.548790,24.569641,16.108573,0.922152,-0.019921,0.129606,-0.363226,3.059922,3.485230,3.003407
1072,IMU,21.579388,24.604499,16.138609,0.922387,-0.019967,0.129610,-0.363325,3.059730,3.486225,3.003709
1073,IMU,21.609986,24.639361,16.168647,0.922361,-0.019963,0.129534,-0.363417,3.059884,3.486284,3.004002
1074,IMU,21.640580,24.674227,16.198689,0.922361,-0.019886,0.129551,-0.363416,3.058877,3.486899,3.004374
1075,DEPTH,21.992566,24.673543,16.197128,0.920116,-0.019551,0.116181,-0.387807,3.109552,3.487340,3.003650
1076,IMU,22.023660,24.708414,16.227163,0.915180,-0.019410,0.115531,-0.385644,3.109255,3.486862,3.003439
1077,IMU,22.054755,24.743283,16.257199,0.915217,-0.019341,0.115478,-0.385576,3.109889,3.486913,3.003747
1078,IMU,22.085852,24.778150,16.287237,0.915208,-0.019398,0.115403,-0.385617,3.109540,3.486444,3.003740
1079,DEPTH,22.393830,24.777709,16.285883,0.913250,-0.019115,0.103959,-0.406629,3.153637,3.486841,3.003127
1080,IMU,22.425363,24.812580,16.315917,0.908470,-0.019001,0.103371,-0.404518,3.152827,3.487364,3.003734
1081,IMU,22.456892,24.847456,16.345958,0.908469,-0.018992,0.103293,-0.404543,3.152978,3.487964,3.004352
1082,IMU,22.488426,24.882334,16.376004,0.908495,-0.018965,0.103328,-0.404477,3.153874,3.487593,3.004977
1083,DEPTH,22.475631,24.882348,16.376060,0.908576,-0.018977,0.103795,-0.403615,3.152050,3.487575,3.005003
1084,IMU,22.507147,24.917222,16.406110,0.908795,-0.018998,0.103811,-0.403676,3.151132,3.487156,3.005064
1085,IMU,22.538660,24.952094,16.436162,0.908757,-0.018978,0.103820,-0.403759,3.151402,3.487302,3.005265
1086,IMU,22.570171,24.986971,16.466213,0.908774,-0.018962,0.103829,-0.403720,3.150911,3.488177,3.004820
1087,DEPTH,22.089943,24.987326,16.468297,0.911829,-0.019389,0.121057,-0.371775,3.082710,3.487430,3.005804
1088,IMU,22.120768,25.022199,16.498359,0.918884,-0.019503,0.122029,-0.374674,3.082330,3.487214,3.006549
1089,IMU,22.151596,25.057074,16.528426,0.918864,-0.019522,0.121980,-0.374737,3.083076,3.487720,3.006859
1090,IMU,22.182430,25.091954,16.558497,0.918856,-0.019519,0.121955,-0.374765,3.083719,3.488372,3.007237
1091,DEPTH,21.841649,25.092142,16.559971,0.921035,-0.019821,0.134020,-0.352321,3.035511,3.487867,3.007920
1092,IMU,21.872005,25.127021,16.590054,0.925281,-0.019916,0.134739,-0.353983,3.035659,3.487886,3.008717
1093,IMU,21.902363,25.161907,16.620141,0.925288,-0.019914,0.134652,-0.353999,3.036063,3.489275,3.008601
1094,IMU,21.932721,25.196800,16.650228,0.925269,-0.019979,0.134647,-0.354046,3.035434,3.489374,3.008794
1095,DEPTH,22.604062,25.196663,16.647343,0.920972,-0.019391,0.111312,-0.397698,3.130097,3.490419,3.007423
1096,IMU,22.635365,25.231570,16.677415,0.912294,-0.019251,0.110186,-0.393965,3.130508,3.490810,3.006935
1097,IMU,22.666668,25.266479,16.707487,0.912300,-0.019226,0.110094,-0.393978,3.130034,3.491057,3.007493
1098,IMU,22.697967,25.301391,16.737568,0.912304,-0.019170,0.110106,-0.393967,3.129764,3.491290,3.008658
1099,DEPTH,22.992187,25.301383,16.736309,0.910413,-0.018916,0.100015,-0.412907,3.171087,3.491780,3.008048
1100,IMU,23.023900,25.336302,16.766392,0.905986,-0.018800,0.099677,-0.410975,3.171564,3.492007,3.008487
1101,IMU,23.055616,25.371221,16.796479,0.906008,-0.018760,0.099720,-0.410919,3.171558,3.491971,3.008975
1102,IMU,23.087336,25.406142,16.826565,0.906005,-0.018775,0.099688,-0.410933,3.172425,3.492133,3.008217
1103,DEPTH,23.051688,25.406137,16.826717,0.906234,-0.018806,0.100895,-0.408660,3.167438,3.492081,3.008288
1104,IMU,23.083366,25.441057,16.856803,0.906799,-0.018867,0.100866,-0.408883,3.168207,3.491852,3.008965
1105,IMU,23.115047,25.475972,16.886892,0.906808,-0.018946,0.100821,-0.408870,3.168048,3.491196,3.008699
1106,IMU,23.146729,25.510886,16.916984,0.906828,-0.018994,0.100772,-0.408837,3.168293,3.491585,3.009692
1107,DEPTH,22.999277,25.510788,16.917606,0.907774,-0.019117,0.105644,-0.399587,3.147774,3.491372,3.009971
1108,IMU,23.030753,25.545706,16.947706,0.909938,-0.019183,0.105903,-0.400536,3.147595,3.492191,3.010125
1109,IMU,23.062229,25.580628,16.977810,0.909979,-0.019197,0.105895,-0.400444,3.147599,3.492264,3.010583
1110,IMU,23.093708,25.615550,17.007916,0.909982,-0.019144,0.105885,-0.400444,3.148145,3.492039,3.010620
1111,DEPTH,23.107849,25.615566,17.007857,0.909891,-0.019132,0.105428,-0.401317,3.150106,3.492059,3.010593
1112,IMU,23.139349,25.650489,17.037964,0.909736,-0.019180,0.105305,-0.401154,3.149799,3.492424,3.010918
1113,IMU,23.170845,25.685411,17.068075,0.909751,-0.019161,0.105291,-0.401123,3.149452,3.492006,3.011171
1114,IMU,23.202339,25.720326,17.098190,0.909764,-0.019059,0.105261,-0.401107,3.149386,3.491070,3.011888
1115,DEPTH,22.999033,25.719985,17.099030,0.911054,-0.019218,0.111671,-0.388752,3.121368,3.490736,3.012263
1116,IMU,23.030247,25.754890,17.129152,0.913812,-0.019191,0.111964,-0.389927,3.121420,3.490208,3.012126
1117,IMU,23.061456,25.789795,17.159273,0.913834,-0.019171,0.111922,-0.389890,3.120439,3.490828,3.012071
1118,IMU,23.092662,25.824706,17.189401,0.913838,-0.019189,0.111821,-0.389907,3.120709,3.491418,3.013531
1119,DEPTH,23.187602,25.824903,17.189012,0.913237,-0.019117,0.108887,-0.395598,3.133739,3.491590,3.013353
1120,IMU,23.218938,25.859823,17.219143,0.911998,-0.019028,0.108669,-0.395080,3.133465,3.492291,3.012918
1121,IMU,23.250274,25.894746,17.249279,0.912006,-0.019002,0.108608,-0.395079,3.133626,3.492359,3.014255
1122,IMU,23.281609,25.929677,17.279426,0.911985,-0.019009,0.108647,-0.395117,3.133372,3.493774,3.015105
1123,DEPTH,23.563393,25.930302,17.278273,0.910192,-0.018797,0.100046,-0.411854,3.171940,3.494320,3.014555
1124,IMU,23.595113,25.965245,17.308422,0.906405,-0.018722,0.099591,-0.410075,3.171919,3.494270,3.015263
1125,IMU,23.626834,26.000190,17.338576,0.906427,-0.018678,0.099575,-0.410031,3.172372,3.494890,3.015503
1126,IMU,23.658558,26.035143,17.368729,0.906428,-0.018675,0.099631,-0.410016,3.172519,3.495605,3.015056
1127,DEPTH,23.806275,26.035471,17.368125,0.905483,-0.018564,0.095159,-0.418731,3.192676,3.495881,3.014768
1128,IMU,23.838201,26.070431,17.398274,0.903393,-0.018536,0.094974,-0.417753,3.192383,3.495962,3.014967
1129,IMU,23.870128,26.105391,17.428421,0.903450,-0.018557,0.094962,-0.417631,3.193045,3.496154,3.014544
1130,IMU,23.902056,26.140353,17.458566,0.903465,-0.018475,0.094994,-0.417595,3.192639,3.496187,3.014404
1131,DEPTH,23.877177,26.140298,17.458668,0.903625,-0.018493,0.095741,-0.416137,3.189257,3.496141,3.014453
1132,IMU,23.909075,26.175260,17.488813,0.903954,-0.018462,0.095743,-0.416365,3.190386,3.496443,3.014660
1133,IMU,23.940976,26.210225,17.518962,0.903941,-0.018529,0.095734,-0.416392,3.189790,3.496533,3.015040
1134,IMU,23.972878,26.245190,17.549113,0.903929,-0.018514,0.095768,-0.416410,3.190523,3.496409,3.015146
1135,DEPTH,24.703065,26.246915,17.546144,0.899219,-0.017969,0.074127,-0.458814,3.289396,3.497649,3.013774
1136,IMU,24.735961,26.281894,17.576280,0.888273,-0.017720,0.073124,-0.453111,3.289785,3.498020,3.013370
1137,IMU,24.768856,26.316874,17.606417,0.888256,-0.017686,0.073192,-0.453136,3.289358,3.498096,3.014225
1138,IMU,24.801751,26.351862,17.636558,0.888192,-0.017686,0.073188,-0.453261,3.289516,3.499546,3.013782
1139,DEPTH,25.019173,26.352427,17.635678,0.886788,-0.017525,0.066845,-0.465750,3.318892,3.499919,3.013366
1140,IMU,25.052357,26.387428,17.665810,0.883235,-0.017444,0.066486,-0.463866,3.317902,3.500291,3.013022
1141,IMU,25.085541,26.422435,17.695938,0.883222,-0.017374,0.066484,-0.463892,3.318730,3.501162,3.012447
1142,IMU,25.118728,26.457446,17.726062,0.883198,-0.017366,0.066463,-0.463942,3.318772,3.501068,3.012416
1143,DEPTH,24.388991,26.455619,17.729013,0.887943,-0.017907,0.087634,-0.422244,3.220433,3.499837,3.013837
1144,IMU,24.421195,26.490616,17.759152,0.899396,-0.018153,0.088767,-0.427643,3.220424,3.499721,3.013917
1145,IMU,24.453400,26.525611,17.789290,0.899354,-0.018210,0.088799,-0.427721,3.220514,3.499227,3.013675
1146,IMU,24.485606,26.560600,17.819428,0.899347,-0.018190,0.088810,-0.427734,3.220743,3.498629,3.013925
1147,DEPTH,24.256382,26.560027,17.820353,0.900844,-0.018361,0.095402,-0.414723,3.190015,3.498259,3.014355
1148,IMU,24.288284,26.595013,17.850496,0.904052,-0.018341,0.095804,-0.416143,3.190379,3.498966,3.014165
1149,IMU,24.320185,26.630005,17.880639,0.904077,-0.018336,0.095772,-0.416096,3.189879,3.499411,3.014472
1150,IMU,24.352082,26.665002,17.910786,0.904067,-0.018392,0.095704,-0.416131,3.189392,3.500058,3.014934
1151,DEPTH,24.084945,26.664324,17.911863,0.905816,-0.018589,0.103313,-0.401080,3.153675,3.499598,3.015455
1152,IMU,24.116481,26.699316,17.942020,0.909298,-0.018639,0.103748,-0.402574,3.153497,3.498801,3.016013
1153,IMU,24.148013,26.734307,17.972184,0.909317,-0.018638,0.103721,-0.402538,3.152998,3.499309,3.016911
1154,IMU,24.179541,26.769303,18.002358,0.909337,-0.018666,0.103709,-0.402495,3.152550,3.499961,3.017852
1155,DEPTH,24.050256,26.769013,18.002881,0.910191,-0.018763,0.107395,-0.395219,3.135344,3.499714,3.018112
1156,IMU,24.081605,26.804014,18.033066,0.911778,-0.018786,0.107648,-0.395878,3.134578,3.500419,3.018822
1157,IMU,24.112951,26.839013,18.063250,0.911787,-0.018827,0.107584,-0.395873,3.134624,3.499360,3.017976
1158,IMU,24.144299,26.874008,18.093429,0.911749,-0.018889,0.107523,-0.395974,3.134868,3.499715,3.017790
1159,DEPTH,24.686798,26.874851,18.091208,0.908088,-0.018472,0.091849,-0.426698,3.206797,3.500729,3.016680
1160,IMU,24.718867,26.909854,18.121375,0.901141,-0.018375,0.091221,-0.423423,3.206894,3.499972,3.016622
1161,IMU,24.750933,26.944858,18.151544,0.901128,-0.018378,0.091096,-0.423476,3.206330,3.500762,3.017135
1162,IMU,24.782999,26.979865,18.181715,0.901142,-0.018269,0.091133,-0.423443,3.206822,3.500668,3.017068
1163,DEPTH,25.885040,26.980853,18.177154,0.893567,-0.017398,0.058896,-0.486203,3.352347,3.502647,3.014805
1164,IMU,25.918570,27.015880,18.207303,0.876802,-0.017146,0.057815,-0.477055,3.353650,3.502694,3.014946
1165,IMU,25.952110,27.050907,18.237453,0.876796,-0.017234,0.057837,-0.477061,3.354384,3.502718,3.014985
1166,IMU,25.985654,27.085935,18.267607,0.876801,-0.017246,0.057873,-0.477047,3.354407,3.503042,3.015786
1167,DEPTH,26.144203,27.086036,18.266948,0.875701,-0.017119,0.053236,-0.486063,3.375268,3.503282,3.015475
1168,IMU,26.177956,27.121071,18.297103,0.872976,-0.017069,0.053046,-0.484569,3.375238,3.503767,3.015612
1169,IMU,26.211707,27.156113,18.327258,0.872984,-0.017089,0.053036,-0.484556,3.374986,3.504674,3.015276
1170,IMU,26.245459,27.191157,18.357409,0.872970,-0.017134,0.053028,-0.484580,3.375343,3.504050,3.015052
